"WEAPON","DMG","IMPACT","IMPACTp","PUNC","PUNCp","SLASH","SLASHp","HEAT","HEATp","COLD","COLDp","ELEC","ELECp","TOXIN","TOXINp","BLAST","BLASTp","RAD","RADp","GAS","GASp","MAG","MAGp","VIRAL","VIRALp","CORR","CORRp","VOID","VOIDp","CRITCHAN","CRITMULT","STATCHAN","FIRERATE","MULTI"
"Fusilai","77","0","","30.800001","","46.200001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23","1.7","0.28999996","2.8333335","1"
"Strun Wraith","40","26","","6","","8.0000019","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2.2","0.12","2.5000002","10"
"Strun","25","13.75","","3.7500002","","7.499999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.075000003","1.5","0.050000012","2.5000002","12"
"Hek","75","11.25","","48.75","","15.000004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.10714287","2.1666667","7"
"Boar Prime","40","26","","6","","8.0000019","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.11250001","4.666667","8"
"Boar","22","12.1","","3.3000002","","6.599999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.5","0.074999988","4.166667","8"
"Sobek","70","52.5","","8.75","","8.75","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.11","2","0.162","2.5000002","5"
"Snipetron Vandal","200","10","","180","","10.000002","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2","0.15999997","2","1"
"Braton Vandal","35","12.25","","1.75","","21","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.15999997","7.5000005","1"
"Vectis","225","90","","78.75","","56.25","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.30000001","1.5000001","1"
"Soma","12","1.2","","4.8000002","","6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","3","0.069999993","15.000001","1"
"MK1-Braton","18","4.5","","4.5","","9","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.5","0.050000012","7.5000005","1"
"Snipetron","180","18","","144","","17.999994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","1.5","0.12","2","1"
"Latron","55","8.25","","38.5","","8.249999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","2","0.12","4.166667","1"
"Braton","24","7.9200001","","7.9200001","","8.1599998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","1.6","0.060000002","8.75","1"
"Latron Prime","90","9","","72","","8.9999971","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2.8","0.25999999","4.166667","1"
"Gorgon","25","18.75","","3.7500002","","2.5000005","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.17","1.5","0.090000033","12.500001","1"
"Burston","30","9.9999895","","9.9999895","","10.000021","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","1.6","0.18000001","7.8328986","1"
"Braton Prime","35","1.75","","12.25","","21","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","2","0.25999999","9.583334","1"
"Boltor","25","2.5","","20","","2.499999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.8","0.13999999","8.75","1"
"Kompressa","2","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","2","","0","","0","","0.059999999","1.8","0.30000001","3.3333335","4"
"Epitaph","300","120","","45","","135","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.02","1.2","0.040000021","1.5000001","1"
"Knell","150","62.999996","","69","","18","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","1.5","0.050000012","4","1"
"Velox","24","4.3200002","","8.1599998","","11.52","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","1.8","0.22000003","15.000001","1"
"Athodai","70","0","","22","","0","","48","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2","0.079999983","5.0000005","1"
"Zakti","30","12","","18","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.02","1.5","0.19999999","5.0000005","1"
"Pandero","72","18","","18","","36","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.8","0.10000002","3.0000002","1"
"Akjagara","36","5.4000001","","5.4000001","","25.199999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","2","0.27999997","10.000001","1"
"Akstiletto","28","16.800001","","2.8","","8.3999987","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","1.8","0.18000001","10.000001","1"
"Azima","20","2","","5","","13","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.15999997","10.000001","1"
"Aksomati","18","1.8000001","","7.2000003","","9","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","3","0.079999983","12.500001","1"
"Pyrana","22","2.2","","2.2","","17.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.024999976","4.166667","12"
"Akarius","487","68","","0","","0","","0","","0","","0","","0","","419","","0","","0","","0","","0","","0","","0","","0.059999999","1.8","0.27999997","4.2483659","1"
"Hystrix","36.000004","2.1599998","","30.960001","","2.8799994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.10000002","7.0000005","1"
"Zylok Prime","210","63.000004","","21","","126.00001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","2.4000001","0.36000001","1.5000001","1"
"Zakti Prime","30","12","","18","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.8","0.41999996","5.0000005","1"
"Velox Prime","27","6.48","","7.5599999","","12.960001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2","0.31999999","17","1"
"Vasto Prime","110","16.5","","16.5","","77","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2.4000001","0.22000003","2.5000002","1"
"Akvasto Prime","110","16.5","","16.5","","77","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2.4000001","0.22000003","3.3333335","1"
"Sicarus Prime","50","20","","15.000001","","14.999998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.19999999","9.375","1"
"Pyrana Prime","24","1.92","","1.92","","20.16","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.036000013","4","10"
"Pandero Prime","104","26","","26","","52","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.8","0.24000001","3.0000002","1"
"Magnus Prime","98","44.099998","","26.950001","","26.949997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.8","0.27999997","5.0000005","1"
"Lex Prime","180","18","","144","","17.999994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.25","2.0833335","1"
"Knell Prime","180","75.599998","","82.800003","","21.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.40000001","2","0.10000002","5.0000005","1"
"Hystrix Prime","46","2.76","","39.560001","","3.6799994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.2","0.19999999","7.0000005","1"
"Ballistica Prime","76","3.8","","41.799999","","30.399998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.14999998","3.3333335","4"
"Akstiletto Prime","36","21.6","","3.6000001","","10.799998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.30000001","7.0833335","1"
"Aksomati Prime","20","2","","8","","10","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","3","0.18000001","13.333334","1"
"Akjagara Prime","38","3.8","","3.8","","30.4","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2.2","0.31999999","10.000001","1"
"Akbolto Prime","44","4.4000001","","37.84","","1.7599983","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.36000001","2.8","0.13999999","5.0000005","1"
"Akarius Prime","577","68","","0","","0","","0","","0","","0","","0","","509","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.34000003","3.9007094","1"
"Afuris Prime","25.999998","3.9000001","","18.199999","","3.8999994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.30000001","12.500001","1"
"Magnus","98","44.099998","","26.950001","","26.949997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.22000003","4.3333335","1"
"Akzani","12","1.8000001","","8.3999996","","1.7999997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2","0.13999999","20.000002","1"
"Dex Furis","16","2.4000001","","11.2","","2.3999996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2","0.27999997","20.000002","1"
"Zylok","140","44.799999","","16.799999","","78.400002","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","2","0.25999999","1.5000001","1"
"Ballistica","100","10","","80","","9.9999962","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.025","1.5","0.10000002","3.3333335","1"
"Euphona Prime","325","292.5","","16.25","","16.250004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.5","0.019999981","1.5000001","1"
"Vasto","90","22.5","","22.5","","45","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","1.8","0.079999983","2.5000002","1"
"Lato","40","10","","10","","20","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.8","0.060000002","4.5","1"
"Lato Vandal","46","6.9000001","","11.5","","27.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.4000001","0.10000002","5.0000005","1"
"Lato Prime","60","6","","12","","42","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.5999999","0.19999999","5.0000005","1"
"Lex","130","13","","104","","12.999995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","1.0833334","1"
"Bronco","42","33.600002","","4.2000003","","4.1999984","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","2","0.094285727","4","7"
"Bolto","64","6.4000001","","57.599998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2.4000001","0.022000015","3.3333335","1"
"Sicarus","30","21","","4.5","","4.499999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.060000002","7.3943663","1"
"Bronco Prime","50","40","","5","","4.9999981","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","2","0.12857145","4.166667","7"
"Furis","20","3","","14","","2.9999995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.12","10.000001","1"
"Gunsen","160","12.799999","","19.199999","","128","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.27999997","1.1666667",
"Vericres","180","21.6","","28.799999","","129.60001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.19999999","1",
"Quassus","230","27.599998","","46","","156.40001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.12","0.83333337",
"Gunsen Prime","225","9","","13.5","","202.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.34000003","1.1666667",
"Kronen Prime","212","21.200001","","21.200001","","169.60001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.34000003","1.1666667",
"Kronen","130","13","","13","","104","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.5","0.19999999","1.0833334",
"Boltace","176","17.6","","140.8","","17.599995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","1.5","0.27999997","0.91666669",
"Argo & Vel","300","60","","0","","240","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.4000001","0.24000001","0.80000007",
"Sigma & Octantis","174","38.279999","","27.84","","107.88","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.2","0.15999997","1.0833334",
"Cobra & Crane Prime","300","210","","90","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.38","1",
"Cobra & Crane","296","207.2","","88.800003","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","1.5","0.36000001","0.91666669",
"Silva & Aegis","98","0","","0","","0","","98","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.19999999","1",
"Skiajati","175","26.250002","","12.25","","136.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.19","2.0999999","0.30000001","1.1666667",
"Destreza","158","3.95","","134.3","","19.75","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2","0.13999999","1",
"Tatsu","214","20","","54","","68","","0","","0","","0","","0","","0","","72","","0","","0","","0","","0","","0","","0.16","2","0.27999997","1",
"Pennant","200","20","","140","","39.999996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.4000001","0.10000002","0.91666669",
"Dorrclave","222","0","","0","","222","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.2","0.24000001","0.83333337",
"Masseter","241","134.96001","","0","","106.04","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2","0.27999997","1",
"Endura","200","10","","140","","50","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.36000001","0.91666669",
"Okina","140","7","","63","","70","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.19999999","1.0833334",
"Broken War","187","18.700001","","18.700001","","149.60001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34999999","2.2","0.19999999","1",
"War","250","120","","60","","70.000008","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.5999999","0.25999999","0.91666669",
"Lacera","216","12","","38","","66","","0","","0","","100","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.44999999","0.91666669",
"Ceti Lacera","216","12","","38","","66","","0","","0","","100","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.39999998","1.0833334",
"Dual Keres","115","13.799999","","34.5","","66.699997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.5999999","0.13999999","1.2500001",
"Tatsu Prime","230","20","","54","","76","","0","","0","","0","","0","","0","","80","","0","","0","","0","","0","","0","","0.22","2.4000001","0.30000001","1.1666667",
"Pangolin Prime","248.00002","12.400001","","37.200001","","198.40001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.2","0.30000001","0.91666669",
"Okina Prime","184","9.1999998","","64.400002","","110.4","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.5999999","0.24000001","1.1666667",
"Nami Skyla Prime","180","18","","36","","126","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.34000003","1.3333334",
"Masseter Prime","260","145.60001","","0","","114.4","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.2","0.36000001","1.0833334",
"Nikana Prime","198","9.9000006","","9.9000006","","178.2","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.4000001","0.27999997","1.0833334",
"Karyst Prime","344","50","","96.000008","","102","","0","","0","","0","","96.000008","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.30000001","0.66666669",
"Gram Prime","300","60","","15","","225","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.5999999","0.31999999","0.80000007",
"Galatine Prime","280","7","","7","","266","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2","0.25999999","1",
"Dual Keres Prime","180","21.6","","54.000004","","104.39999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.5999999","0.24000001","1.2500001",
"Plasma Sword","200","34","","12","","88","","0","","0","","66","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.18000001","0.66666669",
"Pangolin Sword","150","7.5","","22.5","","120","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.5","0.22000003","0.91666669",
"Destreza Prime","170","20.4","","119","","30.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","3","0.19999999","0.91666669",
"Vitrica","333","99.900002","","99.900002","","133.2","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23","2.3","0.33000004","0.83333337",
"Karyst","273","30","","84","","72.000008","","0","","0","","0","","87","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.25999999","0.75000006",
"Dragon Nikana","188","9.4000006","","18.800001","","159.8","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.22000003","1",
"Nikana","142","7.0999999","","14.2","","120.7","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.15999997","0.91666669",
"Dex Nikana","168","16.800001","","25.200001","","126","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.5999999","0.18000001","1",
"Jaw Sword","120","6","","24","","90","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.5","0.15999997","0.91666669",
"Heat Sword","147","14.7","","14.7","","117.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.19999999","0.91666669",
"Galatine","182","4.5500002","","4.5500002","","172.89999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.19999999","1",
"Dex Dakra","142","14.2","","14.2","","113.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.24000001","0.88333338",
"Azothane","170","51.000004","","34","","85","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34","3","0.22000003","1.1666667",
"Syam","270","54","","108","","107.99999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.34000003","1",
"Dark Split-Sword","10","3.3333299","","3.3333299","","3.3333402","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","2","0.10000002","1",
"Dark Sword","260","0","","120","","60","","0","","0","","0","","0","","0","","80","","0","","0","","0","","0","","0","","0.050000001","1.5","0.39999998","0.83333337",
"Nami Solo","172","25.800001","","25.800001","","120.4","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.25","1",
"Nami Skyla","125","18.75","","18.75","","87.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.5","0.14999998","0.91666669",
"Tenet Exec","190","102.60001","","0","","87.399994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.38","2.4000001","0.22000003","1",
"Zenistar","298","80","","0","","68","","150","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.30000001","0.83333337",
"Bo","140","126","","14","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.125","2","0.19999999","1",
"Cadus","130","70","","0","","0","","0","","0","","60","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.25","1",
"Amphis","130","91","","19.5","","19.499996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.13","1.7","0.20999998","1.2500001",
"Tipedo Prime","170","17","","17","","136","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.4000001","0.24000001","1.1666667",
"Bo Prime","176","158.39999","","17.6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.5999999","0.31999999","1.0833334",
"Tipedo","124.00001","12.400001","","12.400001","","99.200005","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.19999999","1.3333334",
"Dual Raza","110","11","","33","","66","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","3","0.10000002","0.91666669",
"Hate","230","34.5","","34.5","","161","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.5","0.19999999","0.91666669",
"Reaper Prime","200","30.000002","","30.000002","","140","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34999999","2.5","0.25","1.0833334",
"Ether Reaper","180","27.000002","","27.000002","","126","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.19999999","1.0833334",
"Harmony","240","0","","168","","72","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2.2","0.36000001","1.0833334",
"Anku","170","25.500002","","136","","8.4999924","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","1.0833334",
"Volnus Prime","250","55","","80","","115.00001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","1.8","0.34000003","1.2",
"Venka Prime","188","9.4000006","","37.600002","","141","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.5999999","0.24000001","1.0500001",
"Tekko Prime","180","39.599998","","25.200001","","115.2","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.4000001","0.25999999","1",
"Silva & Aegis Prime","318","0","","0","","0","","318","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.30000001","0.75000006",
"Ninkondi Prime","234","66","","28","","50","","0","","0","","90","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2.4000001","0.36000001","1",
"Kogake Prime","242","169.39999","","36.300003","","36.299995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","1.8","0.38","0.91666669",
"Fragor Prime","270","189","","40.5","","40.499992","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.40000001","2.5","0.18000001","0.80000007",
"Dual Kamas Prime","160","8","","32","","120","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.25","1.1666667",
"Orthos Prime","234","35.100002","","35.100002","","163.8","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.36000001","1.1666667",
"Orthos","185","27.750002","","27.750002","","129.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","1.5","0.18000001","0.91666669",
"Cassowar","188","41.360001","","63.920002","","82.720001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","1.4","0.27999997","1.1666667",
"Guandao","202","50.5","","10.1","","141.39999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.2","0.040000021","0.83333337",
"Guandao Prime","240","60","","12","","168","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.4000001","0.19999999","1",
"Tonbo","184","18.4","","27.6","","138","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.25","1",
"Edun","220","44","","66","","110","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34","2.5999999","0.19999999","1",
"Gazal Machete","178","17.800001","","26.700001","","133.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.30000001","1",
"Shaku","180","180","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.34000003","1.1666667",
